Open,High,Low,Close,Volume,SMA_10,SMA_50,Return
7203.T,7203.T,7203.T,7203.T,7203.T,,,
1227.2226545403516,1234.4503239739315,1225.7476273113368,1229.877685546875,38008000,1209.920458984375,1156.2559716796875,0.007004946390696043
1229.435100617138,1250.8229937892418,1228.6975870594792,1248.3154296875,50194500,1215.0977783203125,1159.07623046875,0.014991526683750367
1252.1505011825463,1263.6556941891372,1235.3351567685627,1252.4454345703125,61036000,1221.4109008789062,1162.5897485351563,0.0033084625765191777
1261.1481594719885,1268.228271484375,1252.7404870698067,1268.228271484375,49483500,1227.4290161132812,1166.1032641601562,0.012601616388563164
1269.1131271974068,1293.7460033647635,1266.9005869408063,1289.3209228515625,45977500,1235.5121459960938,1169.6049755859376,0.016631588998169855
1287.846165036666,1295.5163242008268,1279.8810724661437,1281.651123046875,46357000,1243.0495361328126,1172.7910400390624,-0.0059487127438562215
1280.3234701831154,1288.8786090058268,1264.0981727499193,1282.5360107421875,42150000,1250.9704345703126,1176.2603051757812,0.0006904279014783299
1274.5708034124434,1281.503448365595,1261.8856071370205,1269.2607421875,47554500,1256.0887817382813,1179.8269262695312,-0.010350795956992509
1271.0569019444804,1289.6167922059694,1257.5859740675842,1269.410400390625,53216000,1261.2368408203124,1183.01302734375,0.00011790973922898296
1263.7226273226559,1265.5187692165493,1249.8026875172309,1261.1781005859375,39951000,1265.222412109375,1186.0698828125,-0.006485136565884675
1283.6297033859676,1288.41938486577,1254.7420654296875,1254.7420654296875,51328500,1267.7088500976563,1189.1425708007812,-0.005103192921967037
1237.5290607723812,1242.1691012473489,1226.1536485957747,1232.7393798828125,55307000,1266.1512451171875,1191.2028930664062,-0.017535624374990677
1234.83500070711,1264.7703946636461,1231.8414613114564,1253.843994140625,50813000,1266.2911010742187,1193.8947631835938,0.01712009415957705
1242.6182112972283,1261.1781005859375,1242.4684795153203,1261.1781005859375,25513000,1265.586083984375,1196.7421655273438,0.0058492974242296825
1247.5576730230978,1253.6943928808587,1242.6183507771461,1247.25830078125,22308000,1261.3798217773438,1199.0161645507812,-0.01103714043101478
1261.7768646131371,1264.3213913894028,1250.1020791547353,1258.7833251953125,31657000,1259.0930419921874,1201.4026586914063,0.009240286800932473
1255.939510950475,1262.2259624231992,1250.85054841014,1253.095703125,36096500,1256.1490112304687,1203.3803955078124,-0.0045183487550806145
1257.4363750312332,1258.3344917978573,1249.353872265134,1252.347412109375,28207000,1254.4576782226563,1205.3638256835939,-0.0005971539234863599
1255.1911906104506,1258.7834748812395,1245.6119181476536,1246.2105712890625,39371000,1252.1376953125,1207.4870727539062,-0.004900270293189624
1246.210430054823,1249.8027139184946,1227.8001808035456,1234.53564453125,35391000,1249.4734497070312,1209.6246240234375,-0.009368341937379121
1229.7461037668716,1241.7202628740683,1228.8480783760656,1240.0738525390625,23417500,1248.0066284179688,1211.8286889648436,0.004486065697937303
1234.835035759018,1244.1150264200794,1232.1408684975677,1238.277587890625,26669000,1248.56044921875,1214.321337890625,-0.0014485142515985316
1240.0738534183727,1245.312548031486,1234.2364143072414,1243.6661376953125,24015500,1247.5426635742188,1216.3966455078125,0.004351649304956462
1243.665892761291,1258.0348443279863,1238.4271991799133,1241.8697509765625,37582000,1245.6118286132812,1218.6543310546874,-0.0014444284235952676
1230.3446527124038,1243.9652199897416,1223.6091892851462,1236.631103515625,29700500,1244.5491088867188,1220.89869140625,-0.004218354989980244
1245.9112819896154,1264.321533203125,1240.223483373313,1264.321533203125,44515500,1245.1029296875,1223.4697045898438,0.022391826963416017
1265.968027928066,1275.8467645869086,1256.8377676131074,1266.5667724609375,41978000,1246.4500366210937,1226.0472729492187,0.0017758451460716529
1272.2542152450387,1275.098114150756,1257.7355312234813,1268.9613037109375,29537000,1248.11142578125,1228.2656201171876,0.0018905685053993704
1265.6686364759667,1267.6145105005078,1255.3409786074067,1259.2325439453125,26116500,1249.413623046875,1230.41625,-0.007666711141761651
1257.7357848637182,1260.7293247973962,1244.863599691138,1248.30615234375,31513500,1250.790673828125,1232.2863989257812,-0.008677024473437545
1254.891743272998,1277.4929290251807,1254.442639282029,1274.4993896484375,56558000,1254.2332275390625,1234.7600634765624,0.020983023479864027
1254.442674178218,1263.2736521275,1247.557569962407,1251.0001220703125,50572000,1255.5054809570313,1236.3005834960939,-0.018438037529862727
1242.019559986598,1244.5640869140625,1229.147376267301,1244.5640869140625,37228500,1255.5952758789062,1237.5973364257814,-0.005144711853104278
1234.984630021103,1237.2297845476392,1227.9498855890802,1229.4466552734375,40812500,1254.3529663085938,1238.355732421875,-0.01214676833405115
1229.1474050980503,1249.5034382840772,1225.8544931944218,1239.17578125,44073500,1254.6074340820312,1239.1553076171874,0.00791341855690253
1257.286543715847,1257.286543715847,1229.5963043602005,1232.58984375,55217000,1251.4342651367188,1239.6137109375,-0.005314772609061547
1232.5898640973155,1239.924072265625,1226.1537725741152,1239.924072265625,35281500,1248.7699951171876,1240.437099609375,0.005950258760295757
1229.1473278017297,1231.2427506227525,1220.1667093687247,1226.75244140625,47919000,1244.5491088867188,1241.000009765625,-0.01062293341503362
1220.0168578004664,1225.5549235615415,1219.8672173835046,1224.2078857421875,32055500,1241.0466430664062,1241.6978833007813,-0.0020742209904597297
1230.1950392960207,1241.7200927734375,1222.8608313053269,1241.7200927734375,34929000,1240.388037109375,1242.5630908203125,0.01430492911800929
1239.325411868546,1250.1021728515625,1236.631244461687,1250.1021728515625,31012500,1237.9483154296875,1243.56349609375,0.006750378065803364
